UID	PID	PPID	LWP	C	NLWP	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND
root	1	0	1	2	1	2.0	0.1	45060	23112	?	Ss	12:10	0:02	/usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root	2	0	2	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[kthreadd]
root	3	2	3	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[pool_workqueue_release]
root	4	2	4	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-rcu_gp]
root	5	2	5	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-sync_wq]
root	6	2	6	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-kvfree_rcu_reclaim]
root	7	2	7	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-slub_flushwq]
root	8	2	8	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-netns]
root	9	2	9	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/0:0-cgroup_free]
root	10	2	10	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/0:0H-events_highpri]
root	11	2	11	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/0:1-mm_percpu_wq]
root	12	2	12	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:0-events_unbound]
root	13	2	13	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-mm_percpu_wq]
root	14	2	14	0	1	0.2	0.0	0	0	?	I	12:10	0:00	[kworker/u64:1-events_unbound]
root	15	2	15	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/0]
root	16	2	16	0	1	0.1	0.0	0	0	?	I	12:10	0:00	[rcu_preempt]
root	17	2	17	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[rcu_exp_par_gp_kthread_worker/0]
root	18	2	18	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[rcu_exp_gp_kthread_worker]
root	19	2	19	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/0]
root	20	2	20	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/0]
root	21	2	21	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/0]
root	22	2	22	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/2]
root	23	2	23	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/2]
root	24	2	24	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/2]
root	25	2	25	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/2]
root	26	2	26	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/2:0-cgroup_free]
root	27	2	27	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/2:0H-events_highpri]
root	28	2	28	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/4]
root	29	2	29	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/4]
root	30	2	30	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/4]
root	31	2	31	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/4]
root	32	2	32	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/4:0-events]
root	33	2	33	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/4:0H-events_highpri]
